drugID;indication
DAP000001;Bipolar disorder
DAP000001;Schizophrenia
DAP000002;Chronic obstructive pulmonary disease
DAP000003;Schizophrenia
DAP000004;Chronic myelogenous leukemia
DAP000004;Solid tumours, Multiple myeloma
DAP000005;Advanced renal cell carcinoma
DAP000005;Gastrointestinal cancer
DAP000006;Advanced renal cell carcinoma
DAP000006;Hepatocellular carcinoma, NSCLC, Melanoma
DAP000006;Myelodysplastic syndromes, AML, Head and neck cancer, Breast cancer, Pancreatic cancer
DAP000007;Rheumatold arthritis
DAP000008;Migraine
DAP000009;Acne vulgaris
DAP000010;Depression
DAP000010;Fibromyalgia
DAP000011;Tuberculosis
DAP000012;Alcohol use disorders
DAP000012;Non-small-cell lung cancer
DAP000013;Hypertension
DAP000014;Psoriasis
DAP000015;Indigestion
DAP000015;Schizophrenia
DAP000016;Cardiac arrest
DAP000016;Septic shock, Neurogenic shock
DAP000017;Pain
DAP000018;Enuresis, Polyuria, Diabetes insipidus
DAP000019;Parkinson's disease
DAP000020;Prostate cancer
DAP000021;Pain, Anesthesia, Anxiety
DAP000022;Schizophrenia
DAP000023;Breast cancer, Prostate cancer
DAP000024;Attention deficit hyperactivity disorder
DAP000024;Traumatic brain injury
DAP000025;Cachexia
DAP000025;Hypertension, Angina
DAP000026;Cocaine addiction
DAP000026;Schizophrenia
DAP000027;Diabetic macular edema
DAP000027;Hypertension
DAP000028;Diabetes mellitus
DAP000029;Schizophrenia
DAP000030;Pulmonary arterial hypertension
DAP000031;Anxiety disorder
DAP000032;Bacterial infection
DAP000033;Adrenocortical carcinoma
DAP000033;Cushing's disease
DAP000034;Anxiety disorder
DAP000034;Schizophrenia
DAP000035;Edema
DAP000035;Oedema and hypertension
DAP000036;Acute hepatic failure and alcoholic cirrhosis of the liver
DAP000037;Diabetes mellitus
DAP000038;Hypertension
DAP000039;Epilepsy
DAP000039;Epilepsy, Bipolar disorder
DAP000040;Hypertension, Angina
DAP000041;Brain cancer
DAP000042;Anxiety disorder
DAP000042;Depression
DAP000043;Edema
DAP000043;Edema associated with congestive heart failure
DAP000044;Benign prostatic hyperplasia
DAP000044;Prostate cancer
DAP000045;Benign prostatic hyperplasia
DAP000046;Acute lymphoblastic leukemia
DAP000047;Heart arrhythmia
DAP000047;Hypertension
DAP000048;Intermittent claudication
DAP000049;Malignant pleural mesothelioma
DAP000049;Pleural mesothelioma
DAP000050;Acute myeloid leukemia
DAP000051;Depression
DAP000052;Depression
DAP000053;Obesity
DAP000054;Depression
DAP000055;Mycobacterium tuberculosis infection
DAP000055;Tuberculosis
DAP000056;Herpes viruses
DAP000057;Cancers
DAP000058;Bleeding
DAP000058;Hypertension
DAP000059;Hypertension
DAP000060;Hepatitis B virus infection
DAP000061;Anxiety disorder
DAP000061;Seizures
DAP000062;Colorectal cancer
DAP000063;Migraine headaches
DAP000064;Drug withdrawal syndrome
DAP000064;Heroin and opiate withdrawal
DAP000065;Hypertension
DAP000066;Allergy
DAP000066;Sepsis
DAP000068;Parkinson's disease
DAP000069;Parkinson's disease
DAP000070;Circadian rhythm sleep disorder
DAP000070;Insomnia
DAP000071;Opioid addiction and dependence
DAP000071;Pain
DAP000072;Anesthesia
DAP000072;Cancer pain
DAP000073;Pain
DAP000074;Factor VIII deficiency
DAP000074;Primary nocturnal enuresis
DAP000075;Sjogren's syndrome
DAP000076;Schizophrenia
DAP000077;Migraine
DAP000078;Migraine headaches
DAP000079;Schizophrenia
DAP000080;Bradycardia, Heart block
DAP000081;Depression
DAP000082;Hypothyroidism
DAP000083;Hypothyroidism
DAP000084;Anxiety disorder
DAP000085;Heart failure
DAP000086;Benign prostatic hyperplasia
DAP000087;Male impotence
DAP000088;Glaucoma
DAP000088;High blood pressure
DAP000089;Angina
DAP000089;Migraine
DAP000090;Medical abortion
DAP000091;Asthma
DAP000092;Advanced prostatic cancer
DAP000093;Epilepsy
DAP000094;Advanced prostate cancer
DAP000095;Rheumatold arthritis
DAP000096;Controlled ovarian stimulation
DAP000097;Narcotic depression
DAP000098;Euvolemic hyponatremia
DAP000099;Fatigue, Orthostatic hypotension
DAP000099;Headache
DAP000100;Emesis
DAP000100;Schizophrenia, Bipolar disorder
DAP000101;Allergy
DAP000102;Allergy
DAP000103;Allergy
DAP000104;Depression
DAP000105;Anesthesia
DAP000105;General anesthesia
DAP000106;Rheumatold arthritis
DAP000107;Asthma
DAP000107;Psoriasis, Crohn's disease, Ankylosing spondylitis, Psoriatic arthritis, Rheumatoid arthritis, Ulcerative colitis
DAP000108;Breast cancer
DAP000108;Cancer
DAP000109;Bacterial infection
DAP000109;Respiratory infections
DAP000110;Bacterial infection
DAP000111;Bacterial infection
DAP000112;Insomnia
DAP000113;Neutropenia
DAP000114;Acute lymphoblastic leukemia
DAP000114;Lung cancer
DAP000115;Acne vulgaris
DAP000116;Bacterial infection
DAP000117;Bacterial infection
DAP000118;Depression
DAP000119;Congestive heart failure
DAP000120;Cardiovascular disease
DAP000120;Congestive cardiac insufficiency, Arrhythmias, Heart failure
DAP000121;Anesthesia
DAP000122;High blood pressure, Angina
DAP000123;Anesthesia
DAP000124;Hypertension
DAP000125;Hypertension
DAP000128;Acidosis
DAP000128;Metabolic acidosis
DAP000129;Bipolar disorder
DAP000129;Epilepsy, Bipolar disorder
DAP000130;Seizures
DAP000130;Seizures
DAP000131;Anesthesia
DAP000131;Pain
DAP000132;Diabetes mellitus
DAP000132;Non-insulin dependent diabetes
DAP000133;Diabetes mellitus
DAP000133;Non-insulin dependent diabetes
DAP000134;Hypertension
DAP000135;Congestive heart failure
DAP000136;Diabetes mellitus
DAP000137;Alcohol use disorders
DAP000137;Epilepsy
DAP000138;Fungal infection
DAP000139;Hypertension, Angina
DAP000140;Pain
DAP000141;Headache
DAP000141;Migraine
DAP000142;Migraine
DAP000143;Hypertension
DAP000144;Bacterial infection
DAP000144;Endocarditis
DAP000145;Bacterial infection
DAP000146;Bacterial infection
DAP000146;Infectious disease
DAP000147;Acute lymphoblastic leukemia
DAP000147;Acute lymphocytic leukemia
DAP000148;Cushing's disease
DAP000149;Alzheimer's disease
DAP000150;Congestive heart failure
DAP000151;Cerebrovascular ischaemia
DAP000151;Severe sepsis
DAP000152;Dysmenorrhea
