targetID;targetName
TTDC00001;RNA-dependent RNA polymerase
TTDC00002;Hemagglutinin
TTDC00005;Serine/threonine-protein kinase Chk1
TTDC00006;Aurora kinase A
TTDC00007;Toll-like receptor 3
TTDC00009;5-hydroxy-tryptamine 3B receptor
TTDC00010;Serine/threonine-protein kinase Chk2
TTDC00012;Fibronectin
TTDC00013;Plasma kallikrein
TTDC00014;Glucosylceramidase
TTDC00015;Protein kinase C gamma type
TTDC00016;Alpha-galactosidase A
TTDC00017;Calcitonin gene-related peptide 1
TTDC00018;Heat shock protein HSP 90
TTDC00019;Cathepsin G
TTDC00020;Integrin alpha-5
TTDC00022;mRNA of Myb proto-oncogene protein
TTDC00023;Lysosomal alpha-glucosidase
TTDC00024;Basic fibroblast growth factor receptor 1
TTDC00025;Phospholipase A2, membrane associated
TTDC00026;Interleukin-2 receptor subunit beta
TTDC00027;Histidine decarboxylase
TTDC00028;Tissue kallikrein
TTDC00029;Atrial natriuretic peptide receptor B
TTDC00030;P-glycoprotein
TTDC00031;Integrin beta-7
TTDC00032;Tyrosine-protein phosphatase non-receptor type 6
TTDC00033;Interleukin-12
TTDC00034;Somatostatin receptor type 4
TTDC00037;Prostaglandin E2 receptor EP3 subtype
TTDC00038;Voltage-dependent anion-selective channel protein 2
TTDC00039;Glycine receptor
TTDC00040;Neuropeptide Y receptor type 2
TTDC00041;Parathyroid hormone receptor
TTDC00042;Matrix metalloproteinase-14
TTDC00043;Neuropeptide Y receptor type 4
TTDC00044;MAP kinase p38
TTDC00045;Ephrin type-B receptor 4
TTDC00046;Nuclear factor NF-kappa-B
TTDC00048;Induced myeloid leukemia cell differentiation protein Mcl-1
TTDC00049;Transient receptor potential cation channel subfamily V member 1
TTDC00050;Glucose-dependent insulinotropic receptor
TTDC00051;Gamma-secretase
TTDC00052;NAD-dependent deacetylase sirtuin-1
TTDC00053;Carboxypeptidase B2
TTDC00054;Hypoxia-inducible factor-prolyl hydroxylase
TTDC00055;Telomerase protein component 1
TTDC00056;Toll-like receptor 8
TTDC00057;Sphingomyelin phosphodiesterase 4
TTDC00058;Sphingosine kinase, Sphingosine kinase 2
TTDC00059;Serine/threonine-protein kinase 13
TTDC00060;Heparanase
TTDC00061;Voltage-dependent anion-selective channel protein 3
TTDC00062;5-lipoxygenase activating protein
TTDC00063;Nitric-oxide synthase, brain
TTDC00064;Centromeric protein E
TTDC00065;Farnesyltransferase
TTDC00066;Protein kinase C, epsilon type
TTDC00067;Cathepsin S
TTDC00068;Cathepsin K
TTDC00069;Peroxisome proliferator activated receptor delta
TTDC00070;Corticosteroid 11-beta-dehydrogenase, isozyme 1
TTDC00071;Proteinase activated receptor 1
TTDC00072;Melanocortin-4 receptor
TTDC00073;Corticotropin releasing factor receptor 1
TTDC00074;Corticotropin releasing factor receptor 2
TTDC00075;Thioredoxin
TTDC00076;92 kDa type IV collagenase
TTDC00077;Protein kinase C, delta type
TTDC00078;Coagulation factor IX
TTDC00079;Histamine H3 receptor
TTDC00080;Interleukin-6
TTDC00081;Interleukin-4 receptor alpha chain
TTDC00082;Cholecystokinin type A receptor
TTDC00084;Tyrosine-protein kinase JAK3
TTDC00085;Complement C1s component
TTDC00086;Thromboxane-A synthase
TTDC00087;High affinity interleukin-8 receptor B
TTDC00088;Cell division protein kinase 2
TTDC00089;Neuropeptide Y receptor type 5
TTDC00090;Substance-K receptor
TTDC00091;Purine nucleoside phosphorylase
TTDC00092;Beta-secretase
TTDC00093;Calcitonin gene-related peptide type 1 receptor
TTDC00094;Cell division protein kinase 7
TTDC00095;Cell division protein kinase 9
TTDC00096;Interferon gamma
TTDC00097;Nitric-oxide synthase, endothelial
TTDC00098;E-selectin
TTDC00099;Glycogen phosphorylase, muscle form
TTDC00100;Metabotropic glutamate receptor 5
TTDC00101;Hypoxia-inducible factor 1 alpha
TTDC00102;Mitogen-activated protein kinase 8
TTDC00103;Macrophage migration inhibitory factor
TTDC00104;72 kDa type IV collagenase
TTDC00105;Stromelysin-1
TTDC00106;Farnesyl-diphosphate farnesyltransferase
TTDC00107;Toll-like receptor 9
TTDC00108;Von Willebrand factor
TTDC00110;Hepatocyte growth factor receptor
TTDC00111;B2 bradykinin receptor
TTDC00112;Somatostatin receptor type 1
TTDC00113;STAT-1 transcription factor
TTDC00114;Receptor protein-tyrosine kinase erbB-4
TTDC00116;Platelet-activating factor acetylhydrolase
TTDC00117;Nigral tachykinin NK(3) receptor
TTDC00118;Cellular tumor antigen p53
TTDC00119;Transcription factor AP-1
TTDC00120;Protein-glutamine gamma-glutamyltransferase
TTDC00121;C-X-C chemokine receptor type 4
TTDC00122;C-C chemokine receptor type 2
TTDC00123;Microsomal triglyceride transfer protein, large subunit
TTDC00124;Cholesteryl ester transfer protein
TTDC00125;C-X-C chemokine receptor type 3
TTDC00126;Metabotropic glutamate receptor 3
TTDC00127;Growth hormone secretagogue receptor type 1
TTDC00128;Potassium voltage-gated channel subfamily KQT member 3
TTDC00129;Leukotriene B4 receptor 1
TTDC00130;Leukotriene A-4 hydrolase
TTDC00131;Fibroblast growth factor receptor 3
TTDC00132;RAC-alpha serine/threonine kinase, AkT
TTDC00133;Melanin-concentrating hormone receptor 1
TTDC00134;Heme oxygenase 1
TTDC00135;B-lymphocyte antigen CD19
TTDC00136;Interleukin-7 receptor alpha chain
TTDC00137;Neural-cadherin
TTDC00138;NRH dehydrogenase [quinone] 2
TTDC00139;Serine/threonine protein kinase 12
