targetID;kegg_pathwayID;kegg_pathwayName
TTDC00005;hsa04110;Cell cycle
TTDC00005;hsa04115;p53 signaling pathway
TTDC00005;hsa05166;HTLV-I infection
TTDC00005;hsa05203;Viral carcinogenesis
TTDC00006;hsa04114;Oocyte meiosis
TTDC00007;hsa04620;Toll-like receptor signaling pathway
TTDC00007;hsa05160;Hepatitis C
TTDC00007;hsa05161;Hepatitis B
TTDC00007;hsa05164;Influenza A
TTDC00007;hsa05168;Herpes simplex infection
TTDC00009;hsa04726;Serotonergic synapse
TTDC00010;hsa04110;Cell cycle
TTDC00010;hsa04115;p53 signaling pathway
TTDC00010;hsa05166;HTLV-I infection
TTDC00012;hsa04151;PI3K-Akt signaling pathway
TTDC00012;hsa04510;Focal adhesion
TTDC00012;hsa04512;ECM-receptor interaction
TTDC00012;hsa04810;Regulation of actin cytoskeleton
TTDC00012;hsa05100;Bacterial invasion of epithelial cells
TTDC00012;hsa05146;Amoebiasis
TTDC00012;hsa05200;Pathways in cancer
TTDC00012;hsa05205;Proteoglycans in cancer
TTDC00012;hsa05222;Small cell lung cancer
TTDC00013;hsa04610;Complement and coagulation cascades
TTDC00014;hsa00511;Other glycan degradation
TTDC00014;hsa00600;Sphingolipid metabolism
TTDC00014;hsa01100;Metabolic pathways
TTDC00014;hsa04142;Lysosome
TTDC00015;hsa04010;MAPK signaling pathway
TTDC00015;hsa04012;ErbB signaling pathway
TTDC00015;hsa04014;Ras signaling pathway
TTDC00015;hsa04015;Rap1 signaling pathway
TTDC00015;hsa04020;Calcium signaling pathway
TTDC00015;hsa04066;HIF-1 signaling pathway
TTDC00015;hsa04070;Phosphatidylinositol signaling system
TTDC00015;hsa04071;Sphingolipid signaling pathway
TTDC00015;hsa04150;mTOR signaling pathway
TTDC00015;hsa04270;Vascular smooth muscle contraction
TTDC00015;hsa04310;Wnt signaling pathway
TTDC00015;hsa04370;VEGF signaling pathway
TTDC00015;hsa04510;Focal adhesion
TTDC00015;hsa04530;Tight junction
TTDC00015;hsa04540;Gap junction
TTDC00015;hsa04650;Natural killer cell mediated cytotoxicity
TTDC00015;hsa04666;Fc gamma R-mediated phagocytosis
TTDC00015;hsa04670;Leukocyte transendothelial migration
TTDC00015;hsa04713;Circadian entrainment
TTDC00015;hsa04720;Long-term potentiation
TTDC00015;hsa04723;Retrograde endocannabinoid signaling
TTDC00015;hsa04724;Glutamatergic synapse
TTDC00015;hsa04725;Cholinergic synapse
TTDC00015;hsa04726;Serotonergic synapse
TTDC00015;hsa04727;GABAergic synapse
TTDC00015;hsa04728;Dopaminergic synapse
TTDC00015;hsa04730;Long-term depression
TTDC00015;hsa04750;Inflammatory mediator regulation of TRP channels
TTDC00015;hsa04911;Insulin secretion
TTDC00015;hsa04916;Melanogenesis
TTDC00015;hsa04918;Thyroid hormone synthesis
TTDC00015;hsa04919;Thyroid hormone signaling pathway
TTDC00015;hsa04921;Oxytocin signaling pathway
TTDC00015;hsa04960;Aldosterone-regulated sodium reabsorption
TTDC00015;hsa04961;Endocrine and other factor-regulated calcium reabsorption
